Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/02/25 00:00:00;2021/02/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;27.2;27.225;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/26 00:00:00;2021/02/26 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.2;38.2;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/27 00:00:00;2021/02/27 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;40.5;40.525;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/28 00:00:00;2021/02/28 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;60.9;60.85;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/01 00:00:00;2021/03/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;69.6;69.55;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/02 00:00:00;2021/03/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;97.4;97.35;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/03 00:00:00;2021/03/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.8;77.775;µg-m3;96.0;100;96.0;R;1;48.799168;2.130556
2021/03/04 00:00:00;2021/03/04 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;49.9;49.85;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/05 00:00:00;2021/03/05 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.2;21.2;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/06 00:00:00;2021/03/06 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;54.0;54.025;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/07 00:00:00;2021/03/07 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;41.8;41.825;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/08 00:00:00;2021/03/08 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;52.3;52.3;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/09 00:00:00;2021/03/09 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;67.8;67.775;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/10 00:00:00;2021/03/10 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;55.3;55.325;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/11 00:00:00;2021/03/11 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;14.5;14.475;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/12 00:00:00;2021/03/12 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;17.0;17.025;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/13 00:00:00;2021/03/13 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;14.7;14.725;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/14 00:00:00;2021/03/14 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;11.7;11.725;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/15 00:00:00;2021/03/15 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;21.7;21.65;µg-m3;96.0;100;96.0;A;1;48.799168;2.130556
2021/03/16 00:00:00;2021/03/16 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;41.0;41.0;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/17 00:00:00;2021/03/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;27.5;27.45;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/03/18 00:00:00;2021/03/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;33.6;33.6;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/19 00:00:00;2021/03/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;28.4;28.425;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/20 00:00:00;2021/03/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;46.8;46.75;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/21 00:00:00;2021/03/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;16.2;16.2;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/22 00:00:00;2021/03/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;39.1;39.05;µg-m3;96.0;100;96.0;A;1;48.799168;2.130556
2021/03/23 00:00:00;2021/03/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;80.9;80.875;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/24 00:00:00;2021/03/24 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;60.0;59.95;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
